,Date,Death,Injuries,Location_x,Location_y,High School Name,School Type,Others,description
77,4/16/15,0,1,"Paradis, Louisiana",,,,,"A police officer was shot outside a school in a school zone while he was directing school buses into J.B. Martin Middle School, and the suspect was apprehended at the scene.[504]"
78,4/27/15,0,0,"Lacey, Washington","Lacey, WA",North Thurston High School,High School,Gun fired but no one injured,"A 15-year-old student at North Thurston High School walked into the commons area and fired two shots into the ceiling from a .357 magnum pistol. Brady Olson, a teacher at the school, was able to tackle the student before they could turn the gun on other students. No one was injured or killed. The student is facing charges of firing and possessing a gun on school property.[505]"
79,5/12/15,0,2,"Jacksonville, Florida","Tempe, AZ",Corona del Sol High School,High School,"Attempted or completed suicide, with no intent to injure other person","Police report that a 16-year-old shot five bullets into a school bus and injured two students. Apparently, there was an argument that touched on previous events.[506]"
80,5/24/15,0,7,"Flint, Michigan","Flint, MI",Southwestern Classical Academy,High School,Attack on other persons(s) resulting in injury or death,"In the early morning hours of Memorial Day weekend, a group of people were at Southwestern Classical Academy in the parking lot. Shots rang out and seven were injured, with two men being apprehended and charged.[507]"
81,8/27/15,1,0,"Savannah, Georgia","Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death,22-year-old student Christopher Starks was fatally shot in a student union building at Savannah State University. The shooter has not been identified.[508]
82,9/3/15,1,2,"Sacramento, California","Sacramento, CA",Sacramento City College,College or University,Attack on other persons(s) resulting in injury or death,"A man was arguing with at least one other person escalated into a physical fight on the parking lot of Sacramento City College. A man opened fire, killing a 25-year-old student and wounding two others. The shooting suspect has not been arrested.[509]"
83,9/14/15,2,0,"Cleveland, Mississippi","Cleveland, MS",Delta State University,College or University,Attack on other persons(s) resulting in injury or death,A geography professor at Delta State University fatally shot a fellow history professor. The geography professor was chased by police and eventually died of a self-inflicted gunshot wound.[510]
84,9/30/15,0,1,"Harrisburg, South Dakota","Harrisburg, SD",Harrisburg High School,High School,Attack on other persons(s) resulting in injury or death,"A principal was shot in the arm and wounded at Harrisburg High School after an argument with a student. The suspect, a 16-year-old student at the school, was taken into custody and is charged with first-degree attempted murder.[511]"
85,10/1/15,10,9,"Roseburg, Oregon","Roseburg, OR",Umpqua Community College,College or University,Attack on other persons(s) resulting in injury or death,"Umpqua Community College shooting: At around 10:40Ã‚Â a.m. PDT, a gunman, identified as 26-year-old student Christopher Harper-Mercer, opened fire in a hall on the Umpqua Community College campus, killing eight students and one teacher, and injuring nine others. Mercer then committed suicide after engaging responding police officers in a brief gunfight.[512]"
86,10/9/15,1,3,"Flagstaff, Arizona","Flagstaff, AZ",Northern Arizona University - Flagstaff,College or University,Attack on other persons(s) resulting in injury or death,"One student died and three others were wounded in a shooting at Northern Arizona University. It is unclear what sparked the shooting, which took place near Mountain View Hall, a dormitory that houses most of the campus' students involved in Greek organizations. An 18-year-old student was arrested and charged with murder and aggravated assault.[513]"
